,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio,max-rule-length,weighted-average-rule-length,point-average-clustering-cost,normalized-clustering-cost,overlap,coverage,distance-ratio
,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,IMM,IMM,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,Voronoi-Set,Voronoi-Set,Voronoi-Set,Voronoi-Set,Voronoi-Set,Voronoi-Set,Voronoi-Set,ExKMC-Forest,ExKMC-Forest,ExKMC-Forest,ExKMC-Forest,ExKMC-Forest,ExKMC-Forest,ExKMC-Forest
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,40126.81059966932,42.19433291237573,1.0473186119873816,0.5292153589315526,1.0887126121714819,3,2.8815789473684212,38118.74638866131,41.209455555309525,1.0097297297297296,0.5147468002225932,1.0926071859892534,1,1.0,45649.28878723408,46.11039271437786,1.1252525252525252,0.5509181969949917,1.0824979978721505,2,2.0,59190.82806507942,56.64194073213341,1.0880382775119617,0.5815247634947134,0.9625528584997654,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
1,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,46784.434761756915,43.7237708053803,1.0457943925233646,0.5954368391764051,1.0851088023158395,3,3.0,39539.225248816976,39.698017318089335,1.0060240963855422,0.5542570951585977,1.0933309325872018,1,1.0,45649.28878723408,46.11039271437786,1.1252525252525252,0.5509181969949917,1.0824979978721505,2,2.0,59190.82806507942,56.64194073213341,1.0880382775119617,0.5815247634947134,0.9625528584997654,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
2,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,48778.21307258231,44.22322128067299,1.0498640072529466,0.6138007790762382,1.085430467571972,3,3.0,47554.20404309206,42.53506622816821,1.0196779964221825,0.6221480244852532,1.1131968718989163,1,1.0,65801.6544999041,54.743472961650674,1.1064891846921796,0.6688925987757374,0.9828727687708537,2,2.0,69033.36034151973,55.050526588133756,1.1802232854864434,0.6978297161936561,0.9601069205393125,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
3,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,56572.31687666359,48.06484016708887,1.0552251486830926,0.6549805230940456,1.10229973726203,3,3.0,55862.93461641599,45.71434911327004,1.0220949263502455,0.6800222593210907,1.1343512278531953,1,1.0,65801.6544999041,54.743472961650674,1.1064891846921796,0.6688925987757374,0.9828727687708537,2,2.0,69033.36034151973,55.050526588133756,1.1802232854864434,0.6978297161936561,0.9601069205393125,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
4,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,65866.87082504264,47.93804281298591,1.0895196506550218,0.7646076794657763,1.0814457706740699,3,3.0,59517.15506798397,47.12363821693109,1.0261282660332542,0.7028380634390651,1.1313536061128757,1,1.0,65579.20808396378,49.79438730748958,1.1533788914198937,0.7328881469115192,1.0703227675546299,2,2.0,72655.12483945396,51.1655808728549,1.2091549295774648,0.7902058987200891,1.0470931985934644,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
5,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,65866.87082504264,47.93804281298591,1.0895196506550218,0.7646076794657763,1.0814457706740699,3,3.0,67892.56524434371,46.95198149677989,1.0587828492392808,0.8046744574290484,1.1128168088936659,1,1.0,70903.02694218284,51.453575429740816,1.1879535558780843,0.766833611574847,1.0852197952794613,2,2.0,72655.12483945396,51.1655808728549,1.2091549295774648,0.7902058987200891,1.0470931985934644,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
6,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,76945.45336207697,48.823257209439696,1.1256345177664975,0.8770172509738453,1.0810019576905707,3,3.0,67892.56524434371,46.95198149677989,1.0587828492392808,0.8046744574290484,1.1128168088936659,1,1.0,74733.46271837209,50.49558291781898,1.2283783783783784,0.8235948803561491,1.0432329769387092,2,2.0,78796.65260716292,53.639654599838615,1.2375765827093261,0.8174735670562048,1.0348883653300263,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
7,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,76945.45336207697,48.823257209439696,1.1256345177664975,0.8770172509738453,1.0810019576905707,3,3.0,77083.56936607827,49.66724830288548,1.1365979381443299,0.8636616583194212,1.1050138015356479,1,1.0,86849.76268258126,52.76413285697525,1.365127582017011,0.9159710628825821,0.9651647953513287,2,2.0,77512.3533544286,50.56252664998604,1.3065883887801697,0.8530884808013356,1.086902084858659,8,7.549968573224387,88395.6596959016,55.559811248209684,1.0,0.8853644963828603,1.013732181886767
8,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,81729.78562075993,50.45048495108637,1.15679012345679,0.9015025041736227,1.0874226308078765,3,3.0,83830.59176435138,51.085065060543194,1.2193784277879343,0.9131886477462438,1.0577134390363945,1,1.0,86849.76268258126,52.76413285697525,1.365127582017011,0.9159710628825821,0.9651647953513287,2,2.0,84581.89083632888,51.637295992874776,1.336996336996337,0.9115191986644408,1.0756539771415492,8,7.437393767705382,98888.7526913856,56.02762192146493,1.0,0.9821925431274346,1.1378728051282687
9,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,2.0,88149.53461753542,50.83594845301927,1.2791234140715109,0.9649415692821369,1.0805406943886493,3,2.992859158180932,,,,,,1,1.0,93662.29027777896,54.518213200104164,1.4848661233993015,0.9560378408458542,0.9562444330307749,2,2.0,95280.19027302065,54.664480936902265,1.7940332759609867,0.9699499165275459,1.006115267391688,8,7.437393767705382,98888.7526913856,56.02762192146493,1.0,0.9821925431274346,1.1378728051282687
10,,,81818.26188341547,45.53047405866192,1.0,1.0,,5,3.8542014468558707,88570.84958937822,49.28817450716652,1.0,1.0,,2,1.9998621844819726,,,,,,3,2.992859158180932,,,,,,1,1.0,,,,,,2,2.0,107778.65766105094,59.976993690067296,4.191986644407345,1.0,1.0,8,7.430161380077908,,,,,
